Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules
balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,1,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.02310192128E7,562.0,63.0,59.0,4.0,0.0,93.65079365079364,6.349206349206349,0.0,0.8728557013118062,0.1238316772938853,0.20965436445111962,24.920634105155944,42.06351883534905,62.71353316621688,14.31564840116096,48.39788476505592,0.9954529074002679,0.2272325143041422,0.7682203930961257,48.56091284856645,0.7708081404534357,77.43290865124739,0.9117647058823529,31.0,0.034482758620689655,1.0,0.9655172413793104,28.0,0.08823529411764706,3.0,0.96875,0.9117647058823529,0.9393939393939394,0.8746248529792245,0.9929006085192698,0.9939261909553655,0.9365079365079365,0.059225989246273224,0.9407740107537268,0.06349206349206349,0.9385880696364567,0.9365079365079365,0.9366041366041367,0.8746248529792245,0.9929006085192699,0.9933296032108945,0.9363636363636364,0.9365079365079365,0.015,0.001,0.01,0.0,10.0,0.0,17561.0,40183.0,5752.0,100.0,73.80952380952381,?,100.0
balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,2,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.02310192128E7,562.0,63.0,59.0,4.0,0.0,93.65079365079364,6.349206349206349,0.0,0.8709016393442623,0.18929938124325207,0.2583831044668069,38.095749967915914,51.840096961155595,62.71353316621688,21.558220734666083,41.1553124315508,0.9954529074002679,0.3421939799153347,0.6532589274849333,41.222402854551135,0.654323854834145,65.73127166236141,1.0,34.0,0.13793103448275862,4.0,0.8620689655172413,25.0,0.0,0.0,0.8947368421052632,1.0,0.9444444444444444,0.878251025552403,0.9939148073022313,0.9948749575587811,0.9365079365079365,0.07443897099069512,0.9255610290093048,0.06349206349206349,0.9431913116123642,0.9365079365079365,0.9359200470311582,0.878251025552403,0.9939148073022313,0.9942519010971391,0.9351851851851851,0.9365079365079365,0.014,0.0,0.02,0.0,20.0,0.0,17393.0,40183.0,5752.0,100.0,82.53968253968254,?,100.0
balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,3,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.02310192128E7,562.0,63.0,61.0,2.0,0.0,96.82539682539682,3.1746031746031744,0.0,0.9357798165137615,0.1469669958661869,0.21938573916895765,29.576525244207936,44.01595070963543,62.71353316621688,16.448899611614504,46.26463355460237,0.9954529074002679,0.26109364462880164,0.7343592627714661,46.32415247646386,0.7353040075629184,73.8662775603563,1.0,34.0,0.06896551724137931,2.0,0.9310344827586207,27.0,0.0,0.0,0.9444444444444444,1.0,0.9714285714285714,0.9377154924749757,0.9989858012170385,0.9991596638655462,0.9682539682539683,0.03721948549534756,0.9627805145046524,0.031746031746031744,0.9700176366843033,0.9682539682539683,0.9681405895691609,0.9377154924749758,0.9989858012170385,0.9990173847316706,0.9678571428571429,0.9682539682539683,0.013,0.0,0.01,0.0,10.0,0.0,17561.0,40183.0,5752.0,100.0,77.77777777777777,?,100.0
balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,4,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.02310192128E7,562.0,63.0,62.0,1.0,0.0,98.41269841269842,1.5873015873015872,0.0,0.9679715302491102,0.15493241272695304,0.21953697813548093,31.17953380728419,44.046294190123646,62.71353316621688,17.05852494054909,45.655008225667785,0.9954529074002679,0.2707702371515729,0.724682670248695,45.65500822566782,0.7246826702486956,72.799292147459,1.0,34.0,0.034482758620689655,1.0,0.9655172413793104,28.0,0.0,0.0,0.9714285714285714,1.0,0.9855072463768115,0.9684683962230046,1.0,1.0,0.9841269841269841,0.01860974274767378,0.9813902572523263,0.015873015873015872,0.9845804988662131,0.9841269841269841,0.9841027689997942,0.9684683962230045,1.0,1.0,0.9839816933638443,0.9841269841269841,0.013,0.0,0.02,0.0,20.0,0.0,17609.0,40183.0,5752.0,100.0,77.77777777777777,?,100.0
balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,5,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.02310192128E7,562.0,63.0,58.0,5.0,0.0,92.06349206349206,7.936507936507937,0.0,0.8406676783004551,0.1297932815981941,0.21795622075395937,26.120383335676443,43.72914258650295,62.71353316621688,15.02938509652537,47.6841480696915,0.9954529074002679,0.2385616681988154,0.7568912392014524,47.77508342426582,0.758334657528029,76.17986264247308,0.9117647058823529,31.0,0.06896551724137931,2.0,0.9310344827586207,27.0,0.08823529411764706,3.0,0.9393939393939394,0.9117647058823529,0.9253731343283583,0.8410948407114163,0.9918864097363083,0.993087352746285,0.9206349206349206,0.077835731993947,0.922164268006053,0.07936507936507936,0.9212602212602213,0.9206349206349206,0.9207152293415891,0.8410948407114163,0.9918864097363083,0.9923989996237443,0.920313685808247,0.9206349206349206,0.012,0.001,0.01,0.0,10.0,0.0,17681.0,40183.0,5752.0,100.0,71.42857142857143,?,100.0
balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,6,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.02310192128E7,563.0,62.0,60.0,2.0,0.0,96.7741935483871,3.225806451612903,0.0,0.9344608879492601,0.15195681794764407,0.2192297286285735,30.616860305452455,44.04321839339621,61.5997341917195,16.56160012467635,45.038134067043146,0.9935440998664435,0.26712258265607014,0.7264215172103733,45.02606619674888,0.726226874141111,73.09457871459692,1.0,34.0,0.07142857142857142,2.0,0.9285714285714286,26.0,0.0,0.0,0.9444444444444444,1.0,0.9714285714285714,0.936474306633197,0.9978991596638656,0.9982946119624321,0.967741935483871,0.03917050691244239,0.9608294930875576,0.03225806451612903,0.9695340501792115,0.967741935483871,0.9676053934118449,0.936474306633197,0.9978991596638656,0.9979895183880004,0.9671957671957672,0.967741935483871,0.014,0.0,0.01,0.0,10.0,0.0,17585.0,40252.0,5683.0,100.0,78.2258064516129,?,100.0
balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,7,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.02310192128E7,563.0,62.0,58.0,4.0,0.0,93.54838709677419,6.451612903225806,0.0,0.8689217758985199,0.17109572773534454,0.24081506372570402,34.47304349803928,48.37970885810069,61.5997341917195,19.012784357522328,42.58694983419717,0.9935440998664435,0.30665781221810207,0.6868862876483415,42.61574949045567,0.6873507982331559,69.18171003436612,0.9705882352941176,33.0,0.10714285714285714,3.0,0.8928571428571429,25.0,0.029411764705882353,1.0,0.9166666666666666,0.9705882352941176,0.9428571428571428,0.8707939819598279,0.9947478991596639,0.9962292609351433,0.9354838709677419,0.07203849281648143,0.9279615071835186,0.06451612903225806,0.9369313482216708,0.9354838709677419,0.9352107868236901,0.8707939819598279,0.9947478991596638,0.9949370847090536,0.9343915343915343,0.9354838709677419,0.014,0.0,0.02,0.0,20.0,0.0,17729.0,40252.0,5683.0,100.0,83.87096774193549,?,100.0
balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,8,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.02310192128E7,563.0,62.0,60.0,2.0,0.0,96.7741935483871,3.225806451612903,0.0,0.9349422875131166,0.13818034529160567,0.20262109942253964,27.778809156757266,40.60415511119918,61.82401170407469,14.916370072372306,46.90764163170239,0.9971614790979789,0.24058661407052107,0.7565748650274579,46.892642643627774,0.7563329458649641,75.84859240141672,1.0,33.0,0.06896551724137931,2.0,0.9310344827586207,27.0,0.0,0.0,0.9428571428571428,1.0,0.9705882352941176,0.9369271648934462,1.0,1.0,0.967741935483871,0.03670745272525028,0.9632925472747497,0.03225806451612903,0.9695852534562212,0.967741935483871,0.9676402819192194,0.9369271648934463,1.0,1.0,0.967436974789916,0.967741935483871,0.013,0.001,0.01,0.0,10.0,0.0,17585.0,40252.0,5683.0,100.0,79.83870967741936,?,100.0
balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,9,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.02310192128E7,563.0,62.0,60.0,2.0,0.0,96.7741935483871,3.225806451612903,0.0,0.9349422875131166,0.12383728114611822,0.1976023859236366,24.895379962975767,39.59843249914696,61.82401170407469,13.50828214895144,48.315729555123255,0.9971614790979789,0.21787551853147485,0.7792859605665041,48.31145940567157,0.7792170871882511,78.14352073579117,1.0,33.0,0.06896551724137931,2.0,0.9310344827586207,27.0,0.0,0.0,0.9428571428571428,1.0,0.9705882352941176,0.9369271648934462,0.9989550679205852,0.9991087344028521,0.967741935483871,0.03670745272525028,0.9632925472747497,0.03225806451612903,0.9695852534562212,0.967741935483871,0.9676402819192194,0.9369271648934463,0.9989550679205851,0.9989879822896901,0.967436974789916,0.967741935483871,0.015,0.0,0.02,0.0,20.0,0.0,17489.0,40252.0,5683.0,100.0,74.19354838709677,?,100.0
balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,10,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.02310192128E7,563.0,62.0,59.0,3.0,0.0,95.16129032258064,4.838709677419355,0.0,0.9022082018927445,0.18521078659723375,0.24734291419067905,37.233479796276086,49.566161086268174,61.82401170407469,20.427326940563976,41.39668476351072,0.9971614790979789,0.3294730151703867,0.6676884639275923,41.44822463290453,0.6685197521436214,67.04227611643772,1.0,33.0,0.10344827586206896,3.0,0.896551724137931,26.0,0.0,0.0,0.9166666666666666,1.0,0.9565217391304348,0.9065534073951573,0.9979101358411703,0.9981904607573057,0.9516129032258065,0.05506117908787542,0.9449388209121247,0.04838709677419355,0.9556451612903226,0.9516129032258065,0.9513451485400994,0.9065534073951573,0.9979101358411703,0.9979962754186907,0.9509881422924902,0.9516129032258065,0.013,0.0,0.01,0.0,10.0,0.0,17561.0,40252.0,5683.0,100.0,86.29032258064517,?,100.0
