Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules
pima_diabetes-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,1,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.0231018223699998E7,691.0,77.0,62.0,15.0,0.0,80.51948051948052,19.48051948051948,0.0,0.5896980461811724,0.2794758958555949,0.38768260668342436,61.42897919327094,81.24528603840383,71.96830017538234,51.167175094762314,20.801125080620025,0.9346532490309395,0.6645087674644456,0.27014448156649384,28.799001350519358,0.37401300455219944,40.01623114668258,0.8,40.0,0.18518518518518517,5.0,0.8148148148148148,22.0,0.2,10.0,0.8888888888888888,0.8,0.8421052631578948,0.5952918846948437,0.8511111111111112,0.9246356661016361,0.8051948051948052,0.1903799903799904,0.8096200096200097,0.19480519480519481,0.8182720057720058,0.8051948051948052,0.8083228101069314,0.5952918846948437,0.8511111111111112,0.8410764480413728,0.7939339875111507,0.8051948051948052,0.063,0.0,0.051703000000000006,2.79E-4,51.703,0.279,29385.0,71304.0,9290.0,100.0,88.96103896103897,?,700.0
pima_diabetes-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,2,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.0231018223699998E7,691.0,77.0,57.0,20.0,0.0,74.02597402597402,25.974025974025974,0.0,0.43918426802622007,0.3082440583606191,0.4289439418630308,67.75223956082291,89.89227953566693,71.96830017538234,61.15097635563435,10.81732381974799,0.9346532490309395,0.7941685240991474,0.1404847249317921,22.65694705503742,0.29424606564983663,31.481842699944043,0.78,39.0,0.3333333333333333,9.0,0.6666666666666666,18.0,0.22,11.0,0.8125,0.78,0.7959183673469388,0.4398765500800706,0.7992592592592592,0.8873545693830736,0.7402597402597403,0.2935930735930736,0.7064069264069264,0.2597402597402597,0.7452418271383789,0.7402597402597403,0.7422475483699973,0.4398765500800706,0.7992592592592592,0.814434291054146,0.7193877551020409,0.7402597402597403,0.044,0.0,0.039200000000000006,2.51E-4,39.2,0.251,29385.0,71304.0,9290.0,97.40259740259741,86.36363636363636,?,700.0
pima_diabetes-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,3,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.0231018223699998E7,691.0,77.0,53.0,24.0,0.0,68.83116883116882,31.16883116883117,0.0,0.327021121631464,0.3368026639105056,0.44645242740554436,74.02943917670417,93.56147152797715,71.96830017538234,65.10467025174675,6.863629923635585,0.9346532490309395,0.8455151980746332,0.08913805095630631,17.668103715169895,0.22945589240480382,24.549841627652466,0.74,37.0,0.4074074074074074,11.0,0.5925925925925926,16.0,0.26,13.0,0.7708333333333334,0.74,0.7551020408163266,0.3275366019667524,0.7666666666666667,0.8689669112845649,0.6883116883116883,0.3557190957190957,0.6442809042809042,0.3116883116883117,0.6940028362442155,0.6883116883116883,0.6906970580439968,0.3275366019667524,0.7666666666666667,0.7933655018920135,0.6632653061224489,0.6883116883116883,0.042,0.001,0.037742,1.99E-4,37.742,0.199,29385.0,71304.0,9290.0,100.0,88.96103896103897,?,700.0
pima_diabetes-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,4,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.0231018223699998E7,691.0,77.0,56.0,21.0,0.0,72.72727272727273,27.272727272727273,0.0,0.3744680851063831,0.3034861312621403,0.40589716679650256,66.70644416640876,85.06244760546676,71.96830017538234,55.27339166448364,16.6949085108987,0.9346532490309395,0.7178362553829044,0.21681699364803506,24.069438453500183,0.31259010978571666,33.44450041871829,0.84,42.0,0.48148148148148145,13.0,0.5185185185185185,14.0,0.16,8.0,0.7636363636363637,0.84,0.8000000000000002,0.378691704962503,0.82,0.8989259195034204,0.7272727272727273,0.3687542087542087,0.6312457912457912,0.2727272727272727,0.71900826446281,0.7272727272727273,0.7198515769944341,0.378691704962503,0.8200000000000001,0.8340694784257529,0.6857142857142857,0.7272727272727273,0.065,0.0,0.041345999999999994,2.19E-4,41.346,0.219,29385.0,71304.0,9290.0,98.7012987012987,87.66233766233766,?,700.0
pima_diabetes-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,5,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.0231018223699998E7,691.0,77.0,62.0,15.0,0.0,80.51948051948052,19.48051948051948,0.0,0.5531914893617023,0.26344496360488645,0.38224407826828827,57.90537011541925,80.1055526866919,71.96830017538234,51.92043285479787,20.047867320584466,0.9346532490309395,0.6742913357765957,0.2603619132543437,30.592270970918463,0.3973022204015385,42.50798045301469,0.9,45.0,0.37037037037037035,10.0,0.6296296296296297,17.0,0.1,5.0,0.8181818181818182,0.9,0.8571428571428572,0.5594309277855158,0.8592592592592593,0.9210231487696288,0.8051948051948052,0.27556517556517557,0.7244348244348244,0.19480519480519481,0.8022432113341206,0.8051948051948052,0.799893983567453,0.5594309277855158,0.8592592592592593,0.8610236288819956,0.7755102040816327,0.8051948051948052,0.043,0.001,0.038431,2.19E-4,38.431,0.219,29385.0,71304.0,9290.0,94.8051948051948,80.51948051948052,?,700.0
pima_diabetes-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,6,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.0231018223699998E7,691.0,77.0,56.0,21.0,0.0,72.72727272727273,27.272727272727273,0.0,0.3854047890535918,0.32658214776043365,0.44706148941702445,71.78296324358233,93.68911052050547,71.96830017538234,66.27822450302318,5.690075672359157,0.9346532490309395,0.8607561623769244,0.07389708665401502,19.660732565612655,0.2553341891638007,27.31860071406529,0.82,41.0,0.4444444444444444,12.0,0.5555555555555556,15.0,0.18,9.0,0.7735849056603774,0.82,0.796116504854369,0.3868989217888074,0.7718518518518519,0.8801677910855092,0.7272727272727273,0.3517171717171717,0.6482828282828282,0.2727272727272727,0.7214837049742711,0.7272727272727273,0.7232230932973366,0.3868989217888074,0.7718518518518519,0.7814823725771615,0.6921758994860081,0.7272727272727273,0.041,0.0,0.039664000000000005,1.74E-4,39.664,0.174,29385.0,71304.0,9290.0,97.40259740259741,86.36363636363636,?,700.0
pima_diabetes-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,7,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.0231018223699998E7,691.0,77.0,58.0,19.0,0.0,75.32467532467533,24.675324675324674,0.0,0.4534927157265597,0.30996550103794823,0.4345702223266261,68.13061375328887,91.07135942657973,71.96830017538234,65.43416668372451,6.534133491657826,0.9346532490309395,0.8497943725159027,0.08485887651503671,23.277866154399426,0.3023099500571354,32.34461019319991,0.82,41.0,0.37037037037037035,10.0,0.6296296296296297,17.0,0.18,9.0,0.803921568627451,0.82,0.8118811881188118,0.4536804288397352,0.7792592592592592,0.8729013743180098,0.7532467532467533,0.3036171236171236,0.6963828763828764,0.24675324675324675,0.7512977218859571,0.7532467532467533,0.7521404431548276,0.4536804288397352,0.7792592592592592,0.7846714959959998,0.726695311040538,0.7532467532467533,0.063,0.0,0.038774,2.3400000000000002E-4,38.774,0.234,29385.0,71304.0,9290.0,98.7012987012987,87.01298701298701,?,700.0
pima_diabetes-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,8,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.0231018223699998E7,691.0,77.0,55.0,22.0,0.0,71.42857142857143,28.571428571428573,0.0,0.3617181612660135,0.33844532551537654,0.4445727748710214,74.39049723946941,93.16755932973187,71.96830017538234,66.87098906637502,5.097311109007322,0.9346532490309395,0.8684544034594158,0.06619884557152365,17.768361813483594,0.23075794562965707,24.68915032060391,0.8,40.0,0.4444444444444444,12.0,0.5555555555555556,15.0,0.2,10.0,0.7692307692307693,0.8,0.7843137254901961,0.36232865092627065,0.7533333333333333,0.8576989487860818,0.7142857142857143,0.3587301587301587,0.6412698412698413,0.2857142857142857,0.70989010989011,0.7142857142857143,0.7115923292393881,0.36232865092627065,0.7533333333333333,0.7647234584326471,0.6806184012066365,0.7142857142857143,0.05,0.0,0.039493,2.22E-4,39.493,0.222,29385.0,71304.0,9290.0,97.40259740259741,87.01298701298701,?,700.0
pima_diabetes-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,9,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.0231018223699998E7,692.0,76.0,61.0,15.0,0.0,80.26315789473684,19.736842105263158,0.0,0.5403225806451615,0.28646748771995884,0.3994744874855407,63.28296688013692,84.19157326511308,70.45387453942844,56.62081593813182,13.83305860129662,0.9270246649924795,0.7450107360280502,0.18201392896442922,26.154650363763384,0.34414013636530766,37.123083059294814,0.9,45.0,0.38461538461538464,10.0,0.6153846153846154,16.0,0.1,5.0,0.8181818181818182,0.9,0.8571428571428572,0.5467793878409271,0.8115384615384615,0.8855692011677334,0.8026315789473685,0.2872469635627531,0.712753036437247,0.19736842105263158,0.7989291410344043,0.8026315789473685,0.7968325067989123,0.5467793878409271,0.8115384615384617,0.8314670707970171,0.7689969604863223,0.8026315789473685,0.04,0.0,0.038578,2.04E-4,38.578,0.204,29385.0,71405.0,9189.0,98.6842105263158,86.84210526315789,?,700.0
pima_diabetes-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,10,weka.classifiers.meta.XGBoost,'-S 1 -I 100 -W weka.classifiers.rules.XGBoostRules -- -S 1 -colsample_bynode 0.5 -eta 0.3 -gamma 1.0 -lambda 1.0 -max_depth 6 -min_child_weight 1.0 -subsample 0.5',-7904453909409312251,2.0231018223699998E7,692.0,76.0,59.0,17.0,0.0,77.63157894736842,22.36842105263158,0.0,0.4687499999999999,0.2807733184775096,0.3621474025490811,62.02507919994031,76.32467286308231,70.45387453942844,44.31142316240078,26.142451377027662,0.9270246649924795,0.5830450416105366,0.34397962338194293,27.821219322922342,0.36606867530160975,39.488558301151514,0.9,45.0,0.46153846153846156,12.0,0.5384615384615384,14.0,0.1,5.0,0.7894736842105263,0.9,0.8411214953271027,0.4803844614152614,0.8830769230769231,0.9348253521050274,0.7763157894736842,0.3378542510121458,0.6621457489878543,0.2236842105263158,0.7714681440443213,0.7763157894736842,0.7662349018964857,0.4803844614152614,0.8830769230769231,0.8979662183344547,0.7316718587746625,0.7763157894736842,0.041,0.0,0.039328,1.88E-4,39.328,0.188,29385.0,71405.0,9189.0,100.0,93.42105263157895,?,700.0
